Touptek;Altair;OmegonPro;Rising;OMGA
0a12 X01200KPA;0b2b GPCAMAR0130C;1003 GUIDE1200C;0a12 X01200KPA;92b7 AP26CC
0a51 X05100KPA;0b2c AAGFIMX185C;1004 GUIDE1200M;0a51 X05100KPA;92b8 AP26CC(USB2.0)
1002 GPCMOS01200KMA;0b2d AAGFIMX185C(USB2.0);1005 GUIDE1200C;1002 GPCMOS01200KMA;92bf AP26MC
1003 GPCMOS01200KPB;0b4c GPCAMAR0130M;106b veTEC16000C;1003 GPCMOS01200KPB;92c0 AP26MC(USB2.0)
1004 GPCMOS01200KMB;0b4d ALTAIRH224C;106d veTEC16000M;1004 GPCMOS01200KMB;93da AP26CC
1005 GPCMOS01200KPC;0b4e ALTAIRH224C(USB2.0);1075 veTEC16000C(USB2.0);1005 GPCMOS01200KPC;93db AP26CC(USB2.0)
1007 G3CMOS01200KPA;0b4f ALTAIRGP130C;1076 veTEC16000M(USB2.0);1007 G3CMOS01200KPA;9428 AP26MC
1008 G3CMOS02300KPB;0b8b ALTAIRGP130M;10fe GUIDE2000C;1008 G3CMOS02300KPB;9429 AP26MC(USB2.0)
1009 G3CMOS02300KPC;0b8c ALTAIRGP224C;10ff GUIDE2000M;1009 G3CMOS02300KPC;bf10 FILTERWHEEL
100a G3CMOS02300KMC;0b8d ALTAIRH174M;115a veLOX178C;100a G3CMOS02300KMC;
100b G3CMOS06300KPA;0b8e ALTAIRH174M(USB2.0);115b veLOX178C(USB2.0);100b G3CMOS06300KPA;
100c G3CMOS01200KPA(USB2.0);0b8f ALTAIRH618M;115c veLOX178M;100c G3CMOS01200KPA(USB2.0);
100d G3CMOS02300KPB(USB2.0);0c10 ALTAIRH618C;115d veLOX178M(USB2.0);100d G3CMOS02300KPB(USB2.0);
100e G3CMOS02300KPC(USB2.0);0c11 ALTAIRH178M;115e veLOX290C;100e G3CMOS02300KPC(USB2.0);
100f G3CMOS02300KMC(USB2.0);0c12 ALTAIRH178M(USB2.0);115f veLOX290C(USB2.0);100f G3CMOS02300KMC(USB2.0);
1010 G3CMOS06300KPA(USB2.0);0c13 ALTAIRH178C;1160 veLOX290M;1010 G3CMOS06300KPA(USB2.0);
